ISO3,Year,Month,Total,Domestic,International,Total_OS
BGR,2012,11,253.041,12.465,240.576,267.871
BGR,2012,12,276.741,10.657,266.084,290.585
BGR,2013,1,279.656,10.138,269.518,293.622
BGR,2013,2,252.029,8.534,243.495,263.715
BGR,2013,3,294.684,10.313,284.371,307.941
BGR,2013,4,309.296,12.658,296.638,324.52
BGR,2013,5,479.412,16.307,463.105,500.058
BGR,2013,6,983.674,21.515,962.159,1008.641
BGR,2013,7,1349.921,25.475,1324.446,1381.011
BGR,2013,8,1360.86,24.985,1335.875,1390.073
BGR,2013,9,844.583,19.565,825.018,868.214
BGR,2013,10,356.604,14.101,342.503,373.851
BGR,2013,11,271.842,10.788,261.054,284.516
BGR,2013,12,296.731,9.033,287.698,307.497
BGR,2014,1,298.853,8.047,290.806,309.06
